starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 07 19:56:42 2022	1654606602	0	10	10	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:41 2022	1654606601	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:41 2022	1654606601	4	6	11	6
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	10
Tue Jun 07 19:56:41 2022	1654606601	1	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	1	9	11	9
Tue Jun 07 19:56:41 2022	1654606601	1	10	11	9
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	1	10	11	10
Tue Jun 07 19:56:41 2022	1654606601	4	6	11	6
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	10
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	10
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	1	10	11	10
Tue Jun 07 19:56:42 2022	1654606602	1	10	11	10
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	2	9	11	9
Tue Jun 07 19:56:42 2022	1654606602	0	10	11	10
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	10
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	1	10	11	10
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	11	11
Tue Jun 07 19:56:42 2022	1654606602	0	11	11	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	12	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	12	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	12	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	12	11
Tue Jun 07 19:56:41 2022	1654606601	1	11	12	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	12	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	12	11
Tue Jun 07 19:56:41 2022	1654606601	0	11	12	11
Tue Jun 07 19:56:41 2022	1654606601	0	12	12	11
Tue Jun 07 19:56:41 2022	1654606601	0	12	12	12
Tue Jun 07 19:56:41 2022	1654606601	0	12	12	12
Tue Jun 07 19:56:41 2022	1654606601	0	12	12	12
Tue Jun 07 19:56:42 2022	1654606602	0	12	12	12
Tue Jun 07 19:56:41 2022	1654606601	0	12	12	12
Tue Jun 07 19:56:41 2022	1654606601	0	12	12	12
Tue Jun 07 19:56:41 2022	1654606601	0	12	12	12
